,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
3173,Alberta,Canada,3/27/20 23:27,53.9333,-116.5765,542,2,0,0
3175,Anhui,China,3/8/20 5:19,31.8257,117.2264,990,6,984,0
3176,Aruba,Netherlands,3/27/20 23:23,12.5211,-69.9683,33,0,1,32
3177,Australian Capital Territory,Australia,3/27/20 23:27,-35.4735,149.0124,62,0,1,61
3178,Beijing,China,3/27/20 5:30,40.1824,116.4142,569,8,408,153
3179,Bermuda,United Kingdom,3/27/20 23:23,32.3078,-64.7505,17,0,2,15
3180,British Columbia,Canada,3/27/20 23:27,53.7267,-127.6476,725,14,0,0
3181,Cayman Islands,United Kingdom,3/27/20 23:23,19.3133,-81.2546,8,1,0,7
3182,Channel Islands,United Kingdom,3/27/20 23:23,49.3723,-2.3644,88,1,0,87
3183,Chongqing,China,3/23/20 23:34,30.0572,107.874,578,6,570,2
3184,Curacao,Netherlands,3/27/20 23:23,12.1696,-68.99,8,1,2,5
3185,Diamond Princess,Canada,3/27/20 23:27,0.0,0.0,0,1,0,0
3187,Faroe Islands,Denmark,3/27/20 23:23,61.8926,-6.9118,144,0,54,90
3188,French Guiana,France,3/27/20 23:23,4.0,-53.0,28,0,6,22
3189,French Polynesia,France,3/27/20 23:23,-17.6797,-149.4068,30,0,0,30
3190,Fujian,China,3/27/20 1:08,26.0789,117.9874,331,1,295,35
3191,Gansu,China,3/27/20 2:24,37.8099,101.0583,136,2,123,11
3192,Gibraltar,United Kingdom,3/27/20 23:23,36.1408,-5.3536,55,0,14,41
3193,Grand Princess,Canada,3/27/20 23:27,0.0,0.0,13,0,0,0
3195,Greenland,Denmark,3/27/20 23:23,71.7069,-42.6043,10,0,2,8
3196,Guadeloupe,France,3/27/20 23:23,16.265,-61.551,73,1,0,72
3198,Guangdong,China,3/27/20 4:09,23.3417,113.4244,1456,8,1337,111
3199,Guangxi,China,3/20/20 4:33,23.8298,108.7881,254,2,250,2
3200,Guizhou,China,3/18/20 1:37,26.8154,106.8748,146,2,144,0
3201,Hainan,China,3/24/20 4:29,19.1959,109.7453,168,6,168,-6
3202,Hebei,China,3/23/20 1:53,39.549,116.1306,319,6,310,3
3203,Heilongjiang,China,3/26/20 0:15,47.861999999999995,127.7615,484,13,469,2
3204,Henan,China,3/26/20 2:14,33.882,113.61399999999999,1275,22,1250,3
3205,Hong Kong,China,3/27/20 9:27,22.3,114.2,519,4,110,405
3206,Hubei,China,3/27/20 8:21,30.9756,112.2707,67801,3174,61732,2895
3207,Hunan,China,3/14/20 8:25,27.6104,111.7088,1018,4,1014,0
3208,Inner Mongolia,China,3/27/20 1:40,44.0935,113.9448,92,1,74,17
3209,Isle of Man,United Kingdom,3/27/20 23:23,54.2361,-4.5481,29,0,0,29
3210,Jiangsu,China,3/27/20 1:49,32.9711,119.455,641,0,631,10
3211,Jiangxi,China,3/23/20 1:27,27.614,115.7221,936,1,934,1
3212,Jilin,China,3/25/20 23:41,43.6661,126.1923,95,1,92,2
3213,Liaoning,China,3/27/20 3:50,41.2956,122.6085,128,2,124,2
3214,Macau,China,3/26/20 17:03,22.1667,113.55,33,0,10,23
3215,Manitoba,Canada,3/27/20 23:27,53.7609,-98.8139,39,1,0,0
3216,Martinique,France,3/27/20 23:23,14.6415,-61.0242,81,1,0,80
3217,Mayotte,France,3/27/20 23:23,-12.8275,45.166244,50,0,0,50
3218,Montserrat,United Kingdom,3/27/20 23:23,16.742498,-62.187366000000004,5,0,0,5
3219,New Brunswick,Canada,3/27/20 23:27,46.5653,-66.4619,45,0,0,0
3220,New Caledonia,France,3/27/20 23:23,-20.904304999999997,165.618042,15,0,0,15
3221,New South Wales,Australia,3/27/20 23:27,-33.8688,151.2093,1405,7,4,1394
3222,Newfoundland and Labrador,Canada,3/27/20 23:27,53.1355,-57.6604,102,0,0,0
3223,Ningxia,China,3/16/20 8:47,37.2692,106.1655,75,0,75,0
3225,Northern Territory,Australia,3/27/20 23:27,-12.4634,130.8456,12,0,0,12
3226,Northwest Territories,Canada,3/27/20 23:27,64.8255,-124.8457,1,0,0,0
3227,Nova Scotia,Canada,3/27/20 23:27,44.681999999999995,-63.7443,90,0,0,0
3228,Ontario,Canada,3/27/20 23:27,51.2538,-85.3232,994,18,0,0
3229,Prince Edward Island,Canada,3/27/20 23:27,46.5107,-63.4168,9,0,0,0
3231,Qinghai,China,2/23/20 11:19,35.7452,95.9956,18,0,18,0
3232,Quebec,Canada,3/27/20 23:27,52.9399,-73.5491,2024,18,0,0
3233,Queensland,Australia,3/27/20 23:27,-27.4698,153.0251,555,1,8,546
3234,Recovered,Canada,3/27/20 23:27,0.0,0.0,0,0,256,0
3236,Reunion,France,3/27/20 23:23,-21.1151,55.5364,145,0,1,144
3237,Saint Barthelemy,France,3/27/20 23:23,17.9,-62.8333,5,0,0,5
3238,Saskatchewan,Canada,3/27/20 23:27,52.9399,-106.4509,95,0,0,0
3239,Shaanxi,China,3/26/20 2:14,35.1917,108.8701,253,3,242,8
3240,Shandong,China,3/27/20 7:48,36.3427,118.1498,772,7,752,13
3241,Shanghai,China,3/27/20 4:44,31.201999999999998,121.4491,468,5,334,129
3242,Shanxi,China,3/25/20 23:21,37.5777,112.2922,135,0,133,2
3243,Sichuan,China,3/27/20 2:27,30.6171,102.7103,548,3,536,9
3244,Sint Maarten,Netherlands,3/27/20 23:23,18.0425,-63.0548,3,0,0,3
3245,South Australia,Australia,3/27/20 23:27,-34.9285,138.6007,257,0,6,251
3246,St Martin,France,3/27/20 23:23,18.0708,-63.0501,11,0,0,11
3247,Tasmania,Australia,3/27/20 23:27,-42.8821,147.3272,47,0,3,44
3248,Tianjin,China,3/27/20 10:48,39.3054,117.323,155,3,133,19
3249,Tibet,China,2/23/20 11:19,31.6927,88.0924,1,0,1,0
3250,Victoria,Australia,3/27/20 23:27,-37.8136,144.9631,574,3,171,400
3252,Western Australia,Australia,3/27/20 23:27,-31.9505,115.8605,231,2,1,228
3253,Xinjiang,China,3/8/20 5:31,41.1129,85.2401,76,3,73,0
3254,Yukon,Canada,3/27/20 23:27,64.2823,-135.0,3,0,0,0
3255,Yunnan,China,3/26/20 23:16,24.974,101.48700000000001,180,2,172,6
3256,Zhejiang,China,3/27/20 2:35,29.1832,120.0934,1247,1,1222,24
3257,,Afghanistan,3/27/20 23:23,33.93911,67.709953,110,4,2,104
3258,,Albania,3/27/20 23:23,41.1533,20.1683,186,8,31,147
3259,,Algeria,3/27/20 23:23,28.0339,1.6596,409,26,29,354
3260,,Andorra,3/27/20 23:23,42.5063,1.5218,267,3,1,263
3261,,Angola,3/27/20 23:23,-11.2027,17.8739,4,0,0,4
3262,,Antigua and Barbuda,3/27/20 23:23,17.0608,-61.7964,7,0,0,7
3263,,Argentina,3/27/20 23:23,-38.4161,-63.6167,589,13,72,504
3264,,Armenia,3/27/20 23:23,40.0691,45.0382,329,1,28,300
3265,,Austria,3/27/20 23:23,47.5162,14.5501,7657,58,225,7374
3266,,Azerbaijan,3/27/20 23:23,40.1431,47.5769,165,3,15,147
3267,,Bahamas,3/27/20 23:23,25.025885,-78.035889,10,0,1,9
3268,,Bahrain,3/27/20 23:23,26.0275,50.55,466,4,227,235
3269,,Bangladesh,3/27/20 23:23,23.685,90.3563,48,5,11,32
3270,,Barbados,3/27/20 23:23,13.1939,-59.5432,24,0,0,24
3271,,Belarus,3/27/20 23:23,53.7098,27.9534,94,0,32,62
3272,,Belgium,3/27/20 23:23,50.8333,4.469936,7284,289,858,6137
3273,,Belize,3/27/20 23:23,17.1899,-88.4976,2,0,0,2
3274,,Benin,3/27/20 23:23,9.3077,2.3158,6,0,0,6
3275,,Bhutan,3/27/20 23:23,27.5142,90.4336,3,0,0,3
3276,,Bolivia,3/27/20 23:23,-16.2902,-63.5887,61,0,0,61
3277,,Bosnia and Herzegovina,3/27/20 23:23,43.9159,17.6791,237,4,5,228
3278,,Brazil,3/27/20 23:23,-14.235,-51.9253,3417,92,6,3319
3279,,Brunei,3/27/20 23:23,4.5353,114.7277,115,0,11,104
3280,,Bulgaria,3/27/20 23:23,42.7339,25.4858,293,3,9,281
3281,,Burkina Faso,3/27/20 23:23,12.2383,-1.5616,180,9,12,159
3282,,Burma,3/27/20 23:23,21.9162,95.956,8,0,0,8
3283,,Cabo Verde,3/27/20 23:23,16.5388,-23.0418,5,1,0,4
3284,,Cambodia,3/27/20 23:23,11.55,104.9167,99,0,11,88
3285,,Cameroon,3/27/20 23:23,3.8480000000000003,11.5021,91,2,2,87
3286,,Central African Republic,3/27/20 23:23,6.6111,20.9394,3,0,0,3
3287,,Chad,3/27/20 23:23,15.4542,18.7322,3,0,0,3
3288,,Chile,3/27/20 23:23,-35.6751,-71.543,1610,5,43,1562
3289,,Colombia,3/27/20 23:23,4.5709,-74.2973,539,6,10,523
3290,,Congo (Brazzaville),3/27/20 23:23,-4.2634,15.2832,4,0,0,4
3291,,Congo (Kinshasa),3/27/20 23:23,-4.322447,15.307045,51,3,2,46
3292,,Costa Rica,3/27/20 23:23,9.7489,-83.7534,263,2,3,258
3293,,Cote d'Ivoire,3/27/20 23:23,7.54,-5.5471,101,0,3,98
3294,,Croatia,3/27/20 23:23,45.1,15.2,586,3,37,546
3295,,Cuba,3/27/20 23:23,21.521757,-77.78116700000001,80,2,4,74
3296,,Cyprus,3/27/20 23:23,35.1264,33.4299,162,5,15,142
3297,,Czechia,3/27/20 23:23,49.8175,15.472999999999999,2279,9,11,2259
3298,,Denmark,3/27/20 23:23,56.2639,9.5018,2046,52,1,1993
3299,,Diamond Princess,3/27/20 23:23,0.0,0.0,712,10,597,105
3300,,Djibouti,3/27/20 23:23,11.8251,42.5903,12,0,0,12
3301,,Dominica,3/27/20 23:23,15.415,-61.371,11,0,0,11
3302,,Dominican Republic,3/27/20 23:23,18.7357,-70.1627,581,20,3,558
3303,,Ecuador,3/27/20 23:23,-1.8312,-78.1834,1595,36,3,1556
3304,,Egypt,3/27/20 23:23,26.820553000000004,30.802497999999996,536,30,116,390
3305,,El Salvador,3/27/20 23:23,13.7942,-88.8965,13,0,0,13
3306,,Equatorial Guinea,3/27/20 23:23,1.6508,10.2679,12,0,0,12
3307,,Eritrea,3/27/20 23:23,15.1794,39.7823,6,0,0,6
3308,,Estonia,3/27/20 23:23,58.5953,25.0136,575,1,11,563
3309,,Eswatini,3/27/20 23:23,-26.5225,31.4659,9,0,0,9
3310,,Ethiopia,3/27/20 23:23,9.145,40.4897,16,0,0,16
3311,,Fiji,3/27/20 23:23,-17.7134,178.065,5,0,0,5
3312,,Finland,3/27/20 23:23,61.92411,25.748151,1041,7,10,1024
3313,,France,3/27/20 23:23,46.2276,2.2137,32964,1995,5700,25269
3314,,Gabon,3/27/20 23:23,-0.8037,11.6094,7,1,0,6
3315,,Gambia,3/27/20 23:23,13.4432,-15.3101,3,1,0,2
3316,,Georgia,3/27/20 23:23,42.3154,43.3569,83,0,14,69
3317,,Germany,3/27/20 23:23,51.165690999999995,10.451526,50871,342,6658,43871
3318,,Ghana,3/27/20 23:23,7.9465,-1.0232,137,4,2,131
3319,,Greece,3/27/20 23:23,39.0742,21.8243,966,28,52,886
3320,,Grenada,3/27/20 23:23,12.1165,-61.678999999999995,7,0,0,7
3321,,Guatemala,3/27/20 23:23,15.7835,-90.2308,28,1,4,23
3322,,Guinea,3/27/20 23:23,9.9456,-9.6966,8,0,0,8
3323,,Guinea-Bissau,3/27/20 23:23,11.8037,-15.1804,2,0,0,2
3324,,Guyana,3/27/20 23:23,4.860416000000001,-58.93018000000001,5,1,0,4
3325,,Haiti,3/27/20 23:23,18.9712,-72.2852,8,0,0,8
3326,,Holy See,3/27/20 23:23,41.9029,12.4534,4,0,0,4
3327,,Honduras,3/27/20 23:23,15.2,-86.2419,68,1,0,67
3328,,Hungary,3/27/20 23:23,47.1625,19.5033,300,10,34,256
3329,,Iceland,3/27/20 23:23,64.9631,-19.0208,890,2,97,791
3330,,India,3/27/20 23:23,20.593684,78.96288,887,20,73,794
3331,,Indonesia,3/27/20 23:23,-0.7893,113.9213,1046,87,46,913
3332,,Iran,3/27/20 23:23,32.427908,53.68804599999999,32332,2378,11133,18821
3333,,Iraq,3/27/20 23:23,33.223191,43.679291,458,40,122,296
3334,,Ireland,3/27/20 23:23,53.1424,-7.6921,2121,22,5,2094
3335,,Israel,3/27/20 23:23,31.046051000000002,34.851612,3035,12,79,2944
3336,,Italy,3/27/20 23:23,41.87194,12.56738,86498,9134,10950,66414
3337,,Jamaica,3/27/20 23:23,18.1096,-77.2975,26,1,2,23
3338,,Japan,3/27/20 23:23,36.204824,138.252924,1468,49,372,1047
3339,,Jordan,3/27/20 23:23,31.24,36.51,235,1,18,216
3340,,Kazakhstan,3/27/20 23:23,48.0196,66.9237,150,1,3,146
3341,,Kenya,3/27/20 23:23,-0.0236,37.9062,31,1,1,29
3342,,"Korea, South",3/27/20 23:23,35.907757000000004,127.766922,9332,139,4528,4665
3343,,Kosovo,3/27/20 23:23,42.602636,20.902977,86,1,1,84
3344,,Kuwait,3/27/20 23:23,29.311659999999996,47.481766,225,0,57,168
3345,,Kyrgyzstan,3/27/20 23:23,41.20438,74.766098,58,0,0,58
3346,,Laos,3/27/20 23:23,19.856270000000002,102.495496,6,0,0,6
3347,,Latvia,3/27/20 23:23,56.8796,24.6032,280,0,1,279
3348,,Lebanon,3/27/20 23:23,33.8547,35.8623,391,8,27,356
3349,,Liberia,3/27/20 23:23,6.4280550000000005,-9.429499,3,0,0,3
3350,,Libya,3/27/20 23:23,26.3351,17.228331,1,0,0,1
3351,,Liechtenstein,3/27/20 23:23,47.14,9.55,56,0,0,56
3352,,Lithuania,3/27/20 23:23,55.1694,23.8813,358,5,1,352
3353,,Luxembourg,3/27/20 23:23,49.8153,6.1296,1605,15,40,1550
3354,,Madagascar,3/27/20 23:23,-18.766947000000002,46.869107,26,0,0,26
3355,,Malaysia,3/27/20 23:23,4.210483999999999,101.97576600000001,2161,26,259,1876
3356,,Maldives,3/27/20 23:23,3.2028,73.2207,16,0,9,7
3357,,Mali,3/27/20 23:23,17.570692,-3.9961660000000006,11,0,0,11
3358,,Malta,3/27/20 23:23,35.9375,14.3754,139,0,2,137
3359,,Mauritania,3/27/20 23:23,21.0079,-10.9408,3,0,0,3
3360,,Mauritius,3/27/20 23:23,-20.348404000000002,57.552152,94,2,0,92
3361,,Mexico,3/27/20 23:23,23.6345,-102.5528,585,8,4,573
3362,,Moldova,3/27/20 23:23,47.4116,28.3699,199,2,2,195
3363,,Monaco,3/27/20 23:23,43.7333,7.4167,42,0,1,41
3364,,Mongolia,3/27/20 23:23,46.8625,103.8467,11,0,0,11
3365,,Montenegro,3/27/20 23:23,42.708678000000006,19.37439,82,1,0,81
3366,,Morocco,3/27/20 23:23,31.7917,-7.0926,345,23,11,311
3367,,Mozambique,3/27/20 23:23,-18.665695,35.529562,7,0,0,7
3368,,Namibia,3/27/20 23:23,-22.9576,18.4904,8,0,2,6
3369,,Nepal,3/27/20 23:23,28.1667,84.25,4,0,1,3
3370,,Netherlands,3/27/20 23:23,52.1326,5.2913,8603,546,3,8054
3371,,New Zealand,3/27/20 23:23,-40.9006,174.886,368,0,37,331
3372,,Nicaragua,3/27/20 23:23,12.865416,-85.207229,2,1,0,1
3373,,Niger,3/27/20 23:23,17.607789,8.081666,10,1,0,9
3374,,Nigeria,3/27/20 23:23,9.082,8.6753,70,1,3,66
3375,,North Macedonia,3/27/20 23:23,41.6086,21.7453,219,3,3,213
3376,,Norway,3/27/20 23:23,60.472,8.4689,3755,19,6,3730
3377,,Oman,3/27/20 23:23,21.512583,55.923255000000005,131,0,23,108
3378,,Pakistan,3/27/20 23:23,30.3753,69.3451,1373,11,23,1339
3379,,Panama,3/27/20 23:23,8.538,-80.7821,674,9,2,663
3380,,Papua New Guinea,3/27/20 23:23,-6.314993,143.95555,1,0,0,1
3381,,Paraguay,3/27/20 23:23,-23.4425,-58.4438,52,3,1,48
3382,,Peru,3/27/20 23:23,-9.19,-75.0152,635,11,16,608
3383,,Philippines,3/27/20 23:23,12.879721,121.77401699999999,803,54,31,718
3384,,Poland,3/27/20 23:23,51.9194,19.1451,1389,16,7,1366
3385,,Portugal,3/27/20 23:23,39.3999,-8.2245,4268,76,43,4149
3386,,Qatar,3/27/20 23:23,25.3548,51.1839,562,0,43,519
3387,,Romania,3/27/20 23:23,45.9432,24.9668,1292,26,115,1151
3388,,Russia,3/27/20 23:23,61.52401,105.31875600000001,1036,4,45,987
3389,,Rwanda,3/27/20 23:23,-1.9403,29.8739,54,0,0,54
3390,,Saint Kitts and Nevis,3/27/20 23:23,17.357822,-62.782998,2,0,0,2
3391,,Saint Lucia,3/27/20 23:23,13.9094,-60.9789,3,0,1,2
3392,,Saint Vincent and the Grenadines,3/27/20 23:23,12.9843,-61.2872,1,0,0,1
3393,,San Marino,3/27/20 23:23,43.9424,12.4578,223,21,4,198
3394,,Saudi Arabia,3/27/20 23:23,23.885942,45.079162,1104,3,35,1066
3395,,Senegal,3/27/20 23:23,14.4974,-14.4524,119,0,11,108
3396,,Serbia,3/27/20 23:23,44.0165,21.0059,457,1,0,456
3397,,Seychelles,3/27/20 23:23,-4.6796,55.492,7,0,0,7
3398,,Singapore,3/27/20 23:23,1.2833,103.8333,732,2,183,547
3399,,Slovakia,3/27/20 23:23,48.669,19.699,269,0,2,267
3400,,Slovenia,3/27/20 23:23,46.1512,14.9955,632,9,10,613
3401,,Somalia,3/27/20 23:23,5.152149,46.199616,3,0,0,3
3402,,South Africa,3/27/20 23:23,-30.5595,22.9375,1170,1,31,1138
3403,,Spain,3/27/20 23:23,40.463667,-3.7492199999999998,65719,5138,9357,51224
3404,,Sri Lanka,3/27/20 23:23,7.873054,80.77179699999999,106,0,7,99
3405,,Sudan,3/27/20 23:23,12.8628,30.2176,3,1,0,2
3406,,Suriname,3/27/20 23:23,3.9193,-56.0278,8,0,0,8
3407,,Sweden,3/27/20 23:23,60.128161,18.643501,3069,105,16,2948
3408,,Switzerland,3/27/20 23:23,46.8182,8.2275,12928,231,1530,11167
3409,,Syria,3/27/20 23:23,34.802075,38.996815000000005,5,0,0,5
3410,,Taiwan*,3/27/20 6:33,23.7,121.0,267,2,29,236
3411,,Tanzania,3/27/20 23:23,-6.369028,34.888822,13,0,1,12
3412,,Thailand,3/27/20 23:23,15.870032,100.992541,1136,5,97,1034
3413,,Timor-Leste,3/27/20 23:23,-8.874217,125.727539,1,0,0,1
3414,,Togo,3/27/20 23:23,8.6195,0.8248,25,1,1,23
3415,,Trinidad and Tobago,3/27/20 23:23,10.6918,-61.2225,66,2,1,63
3416,,Tunisia,3/27/20 23:23,33.886917,9.537499,227,6,2,219
3417,,Turkey,3/27/20 23:23,38.9637,35.2433,5698,92,42,5564
3418,,Uganda,3/27/20 23:23,1.373333,32.290275,23,0,0,23
3419,,Ukraine,3/27/20 23:23,48.3794,31.1656,310,5,5,300
3420,,United Arab Emirates,3/27/20 23:23,23.424076,53.847818000000004,405,2,52,351
3421,,United Kingdom,3/27/20 23:23,55.3781,-3.4360000000000004,14543,759,135,13649
3422,,Uruguay,3/27/20 23:23,-32.5228,-55.7658,238,0,0,238
3423,,Uzbekistan,3/27/20 23:23,41.377491,64.585262,88,1,5,82
3424,,Venezuela,3/27/20 23:23,6.4238,-66.5897,107,1,31,75
3425,,Vietnam,3/27/20 23:23,14.058323999999999,108.277199,163,0,20,143
3426,,West Bank and Gaza,3/27/20 23:23,31.9522,35.2332,91,1,17,73
3427,,Zambia,3/27/20 23:23,-13.133897,27.849332,22,0,0,22
3428,,Zimbabwe,3/27/20 23:23,-19.015438,29.154857,5,1,0,4
